lake,elev_m,area_m2,vol_m3
Plainfield,334.51387,146861.7131,220932.0801
Plainfield,334.54435,147790.7472,225421.126
Plainfield,334.57483,148831.2654,229946.2842
Plainfield,334.60531,149760.2995,234501.0226
Plainfield,334.63579,150912.3018,239085.6551
Plainfield,334.66627,151767.0132,243694.4128
Plainfield,334.69675,152919.0155,248339.3668
Plainfield,334.72723,154033.8565,253018.9418
Plainfield,334.75771,155223.0201,257734.1914
Plainfield,334.78819,156597.9906,262482.2373
Plainfield,334.81867,158456.0588,267282.5947
Plainfield,334.84915,161540.4521,272158.9634
Plainfield,334.87963,164327.5545,277127.0811
Plainfield,334.91011,167188.9795,282177.8173
Plainfield,334.94059,169790.2751,287315.9498
Plainfield,334.97107,171982.7956,292526.6619
Plainfield,335.00155,173506.4115,297790.8945
Plainfield,335.03203,174844.2207,303100.8439
Plainfield,335.06251,176293.5139,308449.743
Plainfield,335.09299,177222.548,313839.5279
Plainfield,335.12347,178931.9708,319271.3098
Plainfield,335.15395,180232.6185,324748.6611
Plainfield,335.18443,181421.7822,330254.743
Plainfield,335.21491,182276.4936,335799.1839
Plainfield,335.24539,183279.8504,341372.7819
Plainfield,335.27587,183874.4323,346969.4549
Plainfield,335.30635,184729.1437,352583.3193
Plainfield,335.33683,185472.3709,358226.1015
Plainfield,335.36731,186512.8892,363897.3241
Plainfield,335.39779,187367.6005,369597.6084
Plainfield,335.42827,188185.1506,375323.1146
Plainfield,335.45875,188631.0869,381062.5517
Plainfield,335.48923,189485.7983,386825.0525
Plainfield,335.51971,190154.7029,392611.1375
Plainfield,335.55019,190972.2529,398421.9794
Plainfield,335.58067,191938.4484,404256.359
Plainfield,335.61115,192793.1598,410119.7381
Plainfield,335.64163,193313.4189,416007.7798
Plainfield,335.67211,194205.2916,421917.1638
Plainfield,335.70259,194911.3576,427840.9879
Plainfield,335.73307,195580.2621,433791.1157
Plainfield,335.76355,196472.1349,439767.3624
Plainfield,335.79403,197326.8463,445771.0968
Plainfield,335.82451,197995.7508,451794.935
Plainfield,335.85499,198813.3009,457838.2815
Plainfield,335.88547,199556.5281,463912.9217
Plainfield,335.91595,200336.9168,470008.3891
Plainfield,335.94643,201488.9191,476132.6485
Plainfield,335.97691,202455.1146,482286.7589
Plainfield,336.00739,203124.0192,488469.6012
Plainfield,336.03787,203867.2464,494672.6867
Plainfield,336.06835,204759.1192,500902.4524
Plainfield,336.09883,205093.5715,507142.7911
Plainfield,336.12931,205725.3147,513406.2298
Plainfield,336.15979,206319.8965,519684.2414
Plainfield,336.19027,206877.317,525984.669
Plainfield,336.22075,207211.7693,532296.9036
Plainfield,336.25123,207843.5125,538617.1707
Plainfield,336.28171,208549.5784,544962.6688
Plainfield,336.31219,209069.8375,551327.707
Plainfield,336.34267,209701.5807,557713.5078
Plainfield,336.37315,210184.6784,564107.9435
Plainfield,336.40363,211076.5512,570527.838
Plainfield,336.43411,211336.6807,576967.8363
Plainfield,336.46459,211931.2626,583420.095
Plainfield,336.49507,212600.1671,589882.9562
Plainfield,336.52555,213380.5558,596377.4309
Plainfield,336.55603,213900.8149,602889.3352
Plainfield,336.58651,214421.074,609419.8644
Plainfield,336.61699,214829.849,615962.6518
Plainfield,336.64747,215164.3013,622510.3407
Plainfield,336.67795,215758.8831,629079.4953
Plainfield,336.70843,216316.3036,635666.0002
Plainfield,336.73891,216910.8854,642271.6482
Plainfield,336.76939,217356.8218,648885.5478
Plainfield,336.79987,217802.7582,655517.9815
Plainfield,336.83035,218434.5014,662168.1114
Plainfield,336.86083,219029.0832,668837.1882
Plainfield,336.89131,219326.3741,675511.5034
Plainfield,336.92179,219846.6332,682206.3555
Plainfield,336.95227,220552.6992,688920.0105
Plainfield,336.98275,220998.6355,695651.5953
Plainfield,337.01323,221481.7333,702395.9645
Plainfield,337.04371,222001.9924,709148.0171
Plainfield,337.07419,222299.2833,715922.0696
Plainfield,337.10467,222670.897,722702.694
Plainfield,337.1088,222782.381,723620.2592
