"lake","elev_m","area_m2","vol_m3","horiz_dist_m","plant_area_m2","upland_m2","upland_pcnt","inland_beach_m2","inland_beach_pcnt","emergent_m2","emergent_pcnt","floating_m2","floating_pcnt","submergent_weed_m2","submergent_weed_pcnt","submergent_algae_m2","submergent_algae_pcnt","submergent_m2","submergent_pcnt","meanHrdAtNest"
"Pleasant",298.9455192,548765.9595,2677286.365,8.11694935546479,571281.2871,12130.5843,2.12339955358569,41599.1748,7.28173243887793,53488.9533999999,9.36298013042338,104359.1455,18.2675588815029,194811.7651,34.1008483034557,328820.1054,57.5583539711571,NA,NA,0.46848961508587
"Pleasant",298.9759992,550060.2898,2694036.869,7.77983112455439,571281.2871,11498.4695,2.01275094417494,41508.8726999999,7.26592549717702,53037.4429,9.28394542191893,103937.7356,18.1937931360609,196015.7933,34.3116075611432,329873.6301,57.7427683260098,NA,NA,0.468952415194626
"Pleasant",299.0064792,550873.0088,2710802.824,7.45670112995773,571281.2871,10625.549,1.85995047272396,41298.1677999999,7.22904263320827,52856.8386,9.25233152101264,103305.6208,18.0831445266501,196256.5989,34.353759405679,330535.8456,57.8586859159875,NA,NA,0.469068901431127
"Pleasant",299.0369592,552107.1378,2727616.188,7.14957835992463,571281.2871,9812.82999999996,1.71768797991142,40846.6571999999,7.15000790719929,52646.1336999999,9.21544865704388,102643.4053,17.9672269366724,196828.5124,34.4538700714603,331378.6653,58.006217389367,NA,NA,0.468944088814181
"Pleasant",299.0674392,553371.3674,2744466.785,6.85055894956605,571281.2871,9060.31229999999,1.58596343072831,40816.5564,7.14473890912784,52074.2201999999,9.11533799126254,102221.9954,17.8934611912304,197129.5195,34.5065598946344,332432.19,58.1906317442198,NA,NA,0.469336640647034
"Pleasant",299.0979192,554635.597,2761357.866,6.53513644415276,571281.2871,8608.80180000002,1.50692872222385,40575.7507999999,7.10258706459211,51893.6161,9.08372412536528,101890.8876,17.8355023874893,196075.9948,34.3221455397817,333305.1105,58.3434322156708,NA,NA,0.469408349201278
"Pleasant",299.1283992,555899.8266,2778270.663,6.28049392925499,571281.2871,7765.98199999996,1.35939723133983,40033.9380999999,7.00774539688225,51110.9977,8.9467305956152,101409.2763,17.7511986809134,197611.1307,34.5908635837059,334418.8366,58.5383845316574,NA,NA,0.469459105523768
"Pleasant",299.1588792,557043.6534,2795235.992,6.03896070591095,571281.2871,7013.46439999994,1.22767269966122,39642.6288999999,6.9392486320072,50930.3934999999,8.91511671221341,100596.5573,17.6089361881008,197581.03,34.5855946031389,335442.2606,58.7175299059433,NA,NA,0.469636563948694
"Pleasant",299.1893592,558247.6817,2812235.93,5.80474734285731,571281.2871,6020.14110000001,1.0537963059424,39281.4205,6.87602086520366,51171.1992,8.95726857425363,100235.3489,17.5457084212973,197701.4328,34.6066705254068,336194.7782,58.8492544376219,NA,NA,0.469578544164332
"Pleasant",299.2198392,559150.7028,2829270.796,5.57696622581491,571281.2871,5147.2206,0.900995834491425,38137.5937,6.67579956865,50719.6884999999,8.87823383074014,99543.0326,17.4245218332481,198574.3533,34.7594709968577,337218.2022,59.0283998119077,NA,NA,0.46953211509299
"Pleasant",299.2503192,559782.8176,2846309.961,5.35257613982769,571281.2871,4304.40090000001,0.753464361111927,36512.1555999999,6.39127456552041,50629.3864,8.86242688903927,98820.6157,17.2980662821364,197550.9293,34.5803256225719,338151.324,59.1917382269881,NA,NA,0.46918874350365
"Pleasant",299.2807992,560655.7381,2863390.237,5.13566647714993,571281.2871,3100.37269999995,0.542705103424339,34645.9118999999,6.06459771785512,50298.2787,8.80446810280266,98218.6016000001,17.1926866532926,200651.302,35.1230307259963,338964.0431,59.3340007373051,NA,NA,0.469078055588453
"Pleasant",299.3112792,561468.4571,2880494.7,4.91700032142651,571281.2871,2197.35149999999,0.384635651406407,32478.6610999999,5.68523104701567,49726.3651999999,8.70435743702132,97586.4868,17.0820380438819,202005.8337,35.3601348865187,339596.1579,59.4446493467158,NA,NA,0.469203621971617
"Pleasant",299.3417592,562220.9748,2897624.643,4.68507368593563,571281.2871,1505.03529999999,0.263449080861726,30311.4103,5.30586437617624,49304.9552999999,8.63059169157931,97225.2783,17.0188102595738,203932.2788,35.6973496953179,340499.1791,59.6027187987338,NA,NA,0.468928987844872
"Pleasant",299.3722392,562672.4853,2914774.225,4.45595235454586,571281.2871,722.417000000016,0.126455568616159,27752.8504,4.85800095796626,48612.6392,8.50940513853915,96262.0557,16.8502028464219,205106.2063,35.9028399724385,341703.2073,59.8134780564214,NA,NA,0.468791736302476
"Pleasant",299.4027192,563515.3051,2931924.346,4.22887769364037,571281.2871,722.417000000016,0.126455568616159,25675.9016999999,4.4944412288277,47529.0138,8.31972180311942,95328.9339,16.6868644313415,203902.1781,35.6920807147509,342786.8327,60.0031613918411,NA,NA,0.468701071099389
"Pleasant",299.4331992,564267.8227,2949114.092,3.97447893289754,571281.2871,722.417000000016,0.126455568616159,23930.0608,4.18884030343027,46445.3883999999,8.1300384676997,95027.9268000001,16.6341746081674,205979.1268,36.0556404438895,343840.3574,60.1875757466938,NA,NA,0.468670024152542
"Pleasant",299.4636792,565261.146,2966329.229,3.74169570782848,571281.2871,722.417000000016,0.126455568616159,22515.3276,3.94119816426943,45151.0580999999,7.90347226831122,94064.7043,16.46556721252,206219.9324,36.0977922884252,344502.5729,60.3034933366716,NA,NA,0.468485410206455
"Pleasant",299.4941592,566134.0665,2983575.027,3.49806295709129,571281.2871,722.417000000016,0.126455568616159,21220.9972999999,3.71463196488095,43916.9291,7.68744401255217,92860.6761,16.2548079548325,206370.4359,36.12413719126,345495.8962,60.4773697303904,NA,NA,0.468090908941388
"Pleasant",299.5246392,566976.8862,3000830.691,3.25193330564525,571281.2871,722.417000000016,0.126455568616159,20408.2783,3.57236947206843,42773.1022999999,7.48722271599852,91686.7486,16.0493176777118,206611.2416,36.1662890533002,346489.2194,60.6512461066047,NA,NA,0.467963341214751
"Pleasant",299.5551192,568180.9144,3018134.961,3.00689227555361,571281.2871,722.417000000016,0.126455568616159,19174.1492999999,3.35634121630936,41538.9733999999,7.27119447774398,90482.7203,15.8385584025198,205617.9184,35.9924126770859,347301.9385,60.7935086169218,NA,NA,0.467808618732171
"Pleasant",299.5855992,569083.9356,3035470.096,2.77227001071524,571281.2871,722.417000000016,0.126455568616159,17909.9197,3.13504399748787,40365.0458999999,7.06570420062336,89609.7998999999,15.6857579485733,207333.6585,36.2927446044119,348626.3695,61.0253437968772,NA,NA,0.467934930561871
"Pleasant",299.6160792,569776.2518,3052831.484,2.53540609437452,571281.2871,722.417000000016,0.126455568616159,16645.6901,2.91374677866637,39281.4205,6.87602086520366,88827.1815,15.5487644188232,207273.4571,36.282206643278,349499.29,61.1781442683282,NA,NA,0.467695558167331
"Pleasant",299.6465592,570558.8701,3070198.019,2.29524886756497,571281.2871,722.417000000016,0.126455568616159,15381.4604999999,2.69244955984485,38137.5937,6.67579956865,87562.9519,15.3274672000017,207544.3634,36.3296274683806,350522.7139,61.3572896251095,NA,NA,0.467970837563624
"Pleasant",299.6770392,571281.2871,3087604.106,2.05869569698269,571281.2871,722.417000000016,0.126455568616159,14237.6337,2.49222826329121,36512.1555999999,6.39127456552041,86991.0385,15.2273565517249,207724.9678,36.3612413867914,351576.2386,61.5417039799622,NA,NA,0.467649832531381
"Pleasant",299.7075192,572214.4089,3105035.942,1.79898386929936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468048040483929
"Pleasant",299.7379992,573267.9336,3122496.836,1.53405395489547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468143913154961
"Pleasant",299.7684792,574381.6597,3139991.517,1.25828188028175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46815339303726
"Pleasant",299.7989592,575465.2851,3157500.615,1.0101021248875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468309233229572
"Pleasant",299.8294392,576428.5077,3175059.364,0.724858386492887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46823052180937
"Pleasant",299.8599192,577421.831,3192648.95,0.483245651664384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.467484217710944
"Pleasant",299.8903992,578385.0535,3210267.825,0.231655695123639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.467493217769131
"Pleasant",299.9208792,579077.3698,3227894.696,0.014967566979698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.467217403816794
"Pleasant",299.9232,579137.5712,3229237.848,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.467168452117117
"Long",332.8622131,0,0,NA,255395.7678,214311.6281,83.9135393456586,92910.9081,36.3791886217779,47887.57337,18.750339436909,0,0,NA,NA,NA,NA,0,0,NA
"Long",332.8926931,346.7601258,5.269975056,114.49222859639,255395.7678,207508.19443,81.249660563091,97044.2888,37.9976103895328,55190.34162,21.6097322580613,0,0,NA,NA,NA,NA,0,0,NA
"Long",332.9231731,804.4834918,22.43422032,109.789751243039,255395.7678,200205.42618,78.3902677419387,101233.1511,39.6377559315217,64462.70738,25.2403193425197,0,0,NA,NA,NA,NA,0,0,NA
"Long",332.9536531,3308.0916,78.67099189,102.970381612105,255395.7678,190933.06042,74.7596806574803,105643.9399,41.3647966096015,74588.10305,29.2049095772056,0,0,NA,NA,NA,NA,0,0,NA
"Long",332.9841331,8384.659841,252.0504198,97.0606297871764,255395.7678,180807.66475,70.7950904227944,109666.3574,42.9397708288884,82716.1604,32.387443657553,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.0146131,13620.73774,587.3613661,92.8334825114355,255395.7678,172679.6074,67.612556342447,113577.8116,44.4712974605525,88285.12802,34.5679682872176,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.0450931,19238.25178,1089.038864,89.1335161285973,255395.7678,167110.63978,65.4320317127824,117253.4689,45.9104980125673,92910.9081,36.3791886217779,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.0755731,26215.06551,1776.244246,85.1355574335154,255395.7678,162484.8597,63.6208113782221,121088.6359,47.4121544546597,97044.2888,37.9976103895328,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.1060531,33906.2051,2693.141809,80.8902188401881,255395.7678,158351.479,62.0023896104671,124306.5699,48.6721338300893,101233.1511,39.6377559315217,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.1365331,41084.1397,3837.670335,77.5000921091175,255395.7678,154162.6167,60.3622440684783,127364.9942,49.8696573154412,105643.9399,41.3647966096015,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.1670131,47887.57337,5188.896172,74.0717431525286,255395.7678,149751.8279,58.6352033903986,130423.4185,51.0671808007932,109666.3574,42.9397708288884,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.1974931,55190.34162,6757.690708,71.1543378488748,255395.7678,145729.4104,57.0602291711116,133565.0652,52.2972899474962,113577.8116,44.4712974605525,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.2279731,64462.70738,8579.474946,67.6692522204131,255395.7678,141817.9562,55.5287025394475,136457.0447,53.4296421101462,117253.4689,45.9104980125673,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.2584531,74588.10305,10699.6712,63.9325780586482,255395.7678,138142.2989,54.0895019874327,139480.793,54.6135882366019,121088.6359,47.4121544546597,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.2889331,82716.1604,13113.63175,60.8905359881164,255395.7678,134307.1319,52.5878455453403,142331.1612,55.7296475294216,124306.5699,48.6721338300893,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.3194131,88285.12802,15726.23987,58.7646775469459,255395.7678,131089.1979,51.3278661699107,144529.6204,56.5904523966822,127364.9942,49.8696573154412,0,0,NA,NA,NA,NA,0,0,NA
"Long",333.3498931,92910.9081,18485.37849,56.9841461281635,255395.7678,128030.7736,50.1303426845588,146811.3021,57.4838429644487,130423.4185,51.0671808007932,0,0,NA,NA,NA,NA,0,0,NA
